shortname,category,Assignment,Chat,Choice,Database,Feedback,Folder,Forum,Glossary,Label,Language Lesson,Lesson,LTI,Quiz,SCORM,Survey,Wiki,Workshop
AFAM210-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMST115-00-F15,84,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMST115-WL0-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMST399-00-F15,84,11,0,0,0,0,0,3,0,42,0,0,0,0,0,0,0,0
ARBC100-00-F15,84,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ARBC101-00-F15,84,1,0,0,0,0,0,8,0,20,22,0,0,14,0,0,0,0
ARBC204-00-F15,84,0,0,0,0,0,0,6,0,14,20,0,0,6,0,0,0,0
ARTH100-00-F15,84,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
ARTH101-00-F15,84,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0
ARTH165-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARTH171-00-F15,84,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0
ARTH225-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARTH247-00-F15,84,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0
ARTH400-01-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTH400-02-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTH400-03-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTH400-04-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARTS110-01-F15,84,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
ARTS110-02-F15,84,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARTS141-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARTS213-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARTS230-01-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARTS230-02-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arts230-F15,84,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ARTS240-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARTS251-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS251-WL0-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS291-11-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARTS391-11-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS400-00-F15,84,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASST400-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTR100-00-F15,84,0,0,0,0,0,1,1,0,32,0,0,0,0,0,0,0,0
ASTR113-00-F15,84,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
ASTR232-00-F15,84,8,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0
ASTR356-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOL125-00-F15,84,1,0,0,0,0,0,2,0,3,0,0,0,4,0,0,0,0
BIOL125L-53-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIOL125L-54-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIOL125L-59-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
biol125l-f15,84,12,0,0,0,0,10,1,0,16,0,0,0,0,0,0,0,0
BIOL125L-WL3-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOL125L-WL4-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOL125L-WL9-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOL252-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIOL253-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOL280-00-F15,84,1,0,0,0,1,7,1,0,12,0,0,0,0,0,0,0,0
BIOL281-01-F15,84,2,0,0,0,0,4,1,0,12,0,0,0,0,0,0,0,0
BIOL281-02-F15,84,2,0,0,0,0,5,1,0,12,0,0,0,0,0,0,0,0
BIOL321-00-F15,84,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIOL322-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOL350-00-F15,84,15,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
BIOL380-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIOL381-01-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIOL381-02-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIOL389-00-F15,84,7,0,0,0,0,2,11,1,35,0,0,0,3,0,0,0,0
BIOL391-11-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOL395-00-F15,84,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0
BIOL399-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOL399-01-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIOL399-02-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIOL399-03-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIOL399-04-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIOL399-05-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIOL400-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMS100-00-F15,84,11,0,0,0,0,2,3,0,19,0,0,0,0,0,0,0,0
CAMS110-00-F15,84,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CAMS110-WL0-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMS111-01-F15,84,4,0,0,0,0,0,1,0,56,0,0,0,0,0,0,0,0
CAMS111-02-F15,84,0,0,0,0,2,0,11,0,4,0,0,0,4,0,0,0,0
CAMS111-WL1-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMS111-WL2-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMS211-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMS242-00-F15,84,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMS270-00-F15,84,2,0,0,0,0,5,3,0,12,0,0,0,0,0,0,0,0
CAMS279-00-F15,84,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CAMS350-00-F15,84,6,0,0,0,0,0,1,0,46,0,0,0,0,0,0,0,0
CAMS400-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMS400-01-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMS400-02-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMS400-03-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMS400-04-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMS400-05-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMS400-06-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Carleton Choir Fall '15,84,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CCST100-01-F15,84,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0
CCST100-02-F15,84,11,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
CCST208-00-F15,84,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
CGSC100-00-F15,84,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CGSC130-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CGSC396-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHEM122-00-F15,84,22,0,1,0,1,1,1,0,25,0,0,0,0,0,0,0,0
CHEM123-00-F15,84,8,0,0,0,2,1,1,0,7,0,0,0,0,0,0,0,0
CHEM123L-52-F15,84,6,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0
CHEM123L-57-F15,84,6,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0
CHEM230-00-F15,84,44,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
CHEM230L-54-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHEM230L-59-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHEM233-01-F15,84,33,0,0,0,0,0,1,0,9,0,0,0,7,0,0,0,0
CHEM233-02-F15,84,33,0,0,0,0,8,1,0,96,0,0,0,1,0,0,0,0
CHEM233L-52-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHEM233L-54-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
