shortname,category,assign_count,chat_count,choice_count,database_count,feedback_count,file_count,folder_count,forum_count,glossary_count,label_count,languagelesson_count,lesson_count,lti_count,page_count,quiz_count,scorm_count,survey_count,url_count,wiki_count,workshop_count
AFAM125-00-S16,86,5,0,0,0,0,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AMST115-00-S16,86,7,0,0,0,0,45,0,12,0,11,0,0,0,15,0,0,0,28,0,0
AMST115-WL0-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AMST228-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AMST230-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AMST240-00-S16,86,8,0,0,0,0,37,0,22,0,29,0,0,0,1,0,0,0,12,0,0
AMST267-00-S16,86,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AMST290-11-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AMST396-00-S16,86,8,0,0,0,0,38,0,7,0,0,0,0,0,3,0,0,0,6,0,0
ARBC103-00-S16,86,0,0,0,0,0,22,3,2,0,0,13,0,0,43,1,0,0,0,0,0
ARBC206-00-S16,86,0,0,0,0,1,26,0,1,0,0,2,0,0,26,0,0,0,2,0,0
ARBC387-00-S16,86,0,0,0,0,0,39,0,10,0,14,0,0,0,0,0,0,0,2,0,0
ARCN391-11-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARCN395-00-S16,86,6,0,0,0,0,34,0,9,0,0,0,0,0,7,0,0,0,6,0,0
ARTH155-00-S16,86,0,0,0,0,0,5,11,1,0,0,0,0,0,0,0,0,0,0,0,0
ARTH240-00-S16,86,0,0,0,0,0,30,10,1,0,0,0,0,0,0,0,0,0,0,0,0
ARTH245-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARTH278-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARTH286-00-S16,86,0,0,0,0,0,30,9,1,0,0,0,0,0,0,0,0,0,0,0,0
ARTH400-01-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARTH400-02-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARTH400-03-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARTH400-04-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARTS110-00-S16,86,0,0,0,0,0,11,0,1,0,11,0,0,0,0,0,0,0,0,0,0
