"shortname","category","page_count","file_count","url_count"
"AFAM125-00-W16",85,0,0,0
"AFAM398-00-W16",85,0,4,0
"AFAM400-00-W16",85,0,0,0
"AMST247-00-W16",85,4,25,17
"AMST345-00-W16",85,5,6,1
"AMST391-11-W16",85,0,0,0
"AMST400-01-W16",85,0,0,0
"AMST400-02-W16",85,0,0,0
"ARBC102-00-W16",85,44,39,0
"ARBC185-00-W16",85,4,71,14
"ARBC205-00-W16",85,24,28,0
"ARBC310-00-W16",85,4,2,0
"ARTH102-00-W16",85,0,28,0
"ARTH164-00-W16",85,0,14,18
"ARTH220-00-W16",85,0,15,9
"ARTH298-00-W16",85,0,32,0
"ARTH323-00-W16",85,0,0,0
"ARTH400-01-W16",85,0,0,0
"ARTH400-02-W16",85,0,0,0
"ARTH400-03-W16",85,0,0,0
"ARTH400-04-W16",85,0,0,0
"ARTS110-00-W16",85,0,13,3
"ARTS110-01-W16",85,0,13,0
"ARTS110-WL0-W16",85,0,0,0
"ARTS120-00-W16",85,1,12,19
"ARTS120-WL0-W16",85,0,0,0
"ARTS122-00-W16",85,20,21,12
"ARTS122-WL0-W16",85,0,0,0
"ARTS141-00-W16",85,0,0,0
"ARTS210-00-W16",85,0,0,0
"ARTS214-00-W16",85,0,1,0
"ARTS232-00-W16",85,0,4,1
"ARTS232-WL0-W16",85,0,0,0
"ARTS260-00-W16",85,0,6,1
"ARTS274-00-W16",85,0,14,0
"ARTS290-11-W16",85,0,0,0
"ARTS291-11-W16",85,0,0,0
"ARTS339-00-W16",85,0,0,0
"ARTS400-00-W16",85,0,3,0
"ASST400-00-W16",85,0,0,0
"ASTR110-00-W16",85,0,22,5
"ASTR356-00-W16",85,0,0,0
"BIOL101-00-W16",85,0,20,0
"BIOL101-WL0-W16",85,0,0,0
"BIOL125-00-W16",85,0,39,0
"BIOL125L-52-W16",85,0,0,0
"BIOL125L-53-W16",85,0,0,0
"BIOL125L-54-W16",85,0,0,0
"BIOL125L-57-W16",85,0,0,0
"BIOL125L-59-W16",85,0,0,0
"biol125L-w16",85,1,20,1
"BIOL125L-WL2-W16",85,0,0,0
"BIOL125L-WL3-W16",85,0,0,0
"BIOL125L-WL4-W16",85,0,0,0
"BIOL125L-WL7-W16",85,0,0,0
"BIOL125L-WL9-W16",85,0,0,0
"BIOL126-00-W16",85,0,24,0
"BIOL126L-52-W16",85,0,6,0
"BIOL126L-53-W16",85,0,7,0
"BIOL126L-54-W16",85,0,6,1
"biol126l-w16",85,8,0,0
"BIOL126L-WL2-W16",85,0,0,0
"BIOL126L-WL3-W16",85,0,0,0
"BIOL126L-WL4-W16",85,0,0,0
"BIOL210-00-W16",85,0,38,13
"BIOL210-WL0-W16",85,0,0,0
"BIOL212-07-W16",85,0,0,0
"BIOL240-00-W16",85,25,43,7
"BIOL241-01-W16",85,1,13,5
"BIOL241-02-W16",85,0,0,0
"biol241-w16",85,2,33,7
"BIOL248-00-W16",85,0,50,3
"BIOL250-07-W16",85,0,0,0
"BIOL307-07-W16",85,0,0,0
"BIOL310-00-W16",85,0,59,44
"BIOL311-00-W16",85,0,13,4
"BIOL332-00-W16",85,0,137,0
"BIOL333-01-W16",85,0,10,0
"BIOL333-02-W16",85,0,10,0
"BIOL333-03-W16",85,0,10,0
"BIOL379-00-W16",85,0,0,0
"BIOL384-00-W16",85,0,52,1
"BIOL394-00-W16",85,0,0,0
"BIOL399-00-W16",85,0,0,0
"BIOL400-00-W16",85,0,0,0
"CAMS110-00-W16",85,0,13,0
"CAMS110-WL0-W16",85,0,0,0
"CAMS111-01-W16",85,7,16,9
"CAMS111-02-W16",85,11,39,19
"CAMS111-WL1-W16",85,0,0,0
"CAMS111-WL2-W16",85,0,0,0
"CAMS214-00-W16",85,1,33,7
"CAMS243-00-W16",85,0,39,10
"CAMS271-00-W16",85,5,14,14
"CAMS273-00-W16",85,8,23,8
"CAMS277-00-W16",85,0,48,1
"CAMS330-00-W16",85,0,6,0
"CAMS400-00-W16",85,0,0,0
"CAMS400-01-W16",85,0,0,0
"CAMS400-02-W16",85,0,0,0
"CAMS400-03-W16",85,0,0,0
"CAMS400-04-W16",85,0,0,0
"CAMS400-05-W16",85,0,0,0
"careerkick-w16A",85,0,5,0
"careerkick-w16B",85,0,5,0
"Carleton Choir W16",85,0,0,0
"CCST270-00-W16",85,1,3,0
"CCST275-00-W16",85,33,36,27
"CGSC232-00-W16",85,0,0,0
"CGSC233-01-W16",85,0,0,0
"CGSC233-02-W16",85,0,0,0
"CGSC392-11-W16",85,0,0,0
"CHEM123-01-W16",85,0,114,10
"CHEM123-02-W16",85,0,43,0
"CHEM123L-52-W16",85,0,11,0
"CHEM123L-54-W16",85,0,5,1
"CHEM123L-57-W16",85,0,0,0
"CHEM123L-59-W16",85,0,5,1
"chem233-00-w16",85,26,2,0
"CHEM233L-54-W16",85,0,0,0
"CHEM233L-59-W16",85,0,0,0
"CHEM234-00-W16",85,0,42,3
"CHEM234L-52-W16",85,0,0,0
"CHEM234L-54-W16",85,0,0,0
"CHEM234L-57-W16",85,0,0,0
"CHEM234L-W16",85,0,15,2
"CHEM302-01-W16",85,0,0,0
"CHEM302-02-W16",85,0,0,0
"CHEM302-03-W16",85,0,0,0
"CHEM302-04-W16",85,0,0,0
"CHEM302-05-W16",85,0,0,0
"CHEM302-W16",85,0,8,0
"CHEM330-00-W16",85,0,2,0
"CHEM331-01-W16",85,0,0,0
"CHEM331-02-W16",85,0,10,1
"CHEM344-00-W16",85,0,27,0
"CHEM359-00-W16",85,0,31,2
"CHEM394-00-W16",85,0,0,0
"CHEM400-01-W16",85,0,0,0
"CHEM400-02-W16",85,0,1,2
"CHEM400-03-W16",85,0,0,0
"CHEM400-04-W16",85,0,34,12
"CHIN102-00-W16",85,1,4,3
"CHIN102-01-W16",85,0,0,0
"CHIN102-02-W16",85,0,0,0
"chin102-w16 Language Lessons",85,0,0,0
"CHIN205-01-W16",85,2,3,22
"CHIN205-02-W16",85,0,0,0
"CHIN240-00-W16",85,0,22,57
"CHIN355-00-W16",85,0,10,15
"CHINA400-00-W16",85,0,0,0
"CLAS123-00-W16",85,0,44,3
"CLAS173-00-W16",85,0,91,28
"CLAS214-00-W16",85,3,30,2
"CLAS400-00-W16",85,0,0,0
"COGSC400-00-W16",85,0,0,0
"CS111-01-W16",85,5,62,4
"CS111-02-W16",85,0,44,3
"CS111-WL1-W16",85,0,0,0
"CS201-01-W16",85,17,9,8
"CS201-02-W16",85,5,22,2
"CS201-WL1-W16",85,0,0,0
"CS202-00-W16",85,1,41,1
"CS208-00-W16",85,2,27,0
"CS252-00-W16",85,1,23,3
"CS257-00-W16",85,10,3,5
"CS312-00-W16",85,0,0,0
"CS348-00-W16",85,1,6,28
"CS362-00-W16",85,2,36,1
"CS392-11-W16",85,0,0,0
"CS400-01-W16",85,0,0,0
"CS400-02-W16",85,0,0,0
"CS400-03-W16",85,0,0,0
"CS400-04-W16",85,0,0,0
"CS400-05-W16",85,0,0,0
"CS400-06-W16",85,0,0,0
"CS400-08-W16",85,0,0,0
"CS400-09-W16",85,0,0,0
"CS400-10-W16",85,0,0,0
"CS400-11-W16",85,0,0,0
"DANC107-00-W16",85,0,0,0
"DANC148-00-W16",85,0,0,0
"DANC150-00-W16",85,0,0,0
"DANC200-00-W16",85,0,0,0
"DANC205-00-W16",85,0,0,0
"DANC208-00-W16",85,0,0,0
"DANC215-00-W16",85,0,0,0
"DANC253-00-W16",85,0,0,0
"DANC268-00-W16",85,24,9,107
"DANC300-00-W16",85,0,0,0
"DANC350-00-W16",85,0,0,0
"ECON110-01-W16",85,0,37,0
"ECON110-02-W16",85,0,43,0
"ECON110-03-W16",85,0,0,0
"ECON111-01-W16",85,4,27,53
"ECON111-02-W16",85,0,98,28
"ECON111-03-W16",85,0,33,16
"ECON233-00-W16",85,0,0,0
"ECON241-00-W16",85,0,30,0
"ECON263-00-W16",85,0,6,0
"ECON264-00-W16",85,0,8,0
"ECON273-00-W16",85,0,0,0
"ECON274-00-W16",85,0,52,28
"ECON281-00-W16",85,0,30,11
"ECON330-00-W16",85,0,0,0
"ECON331-00-W16",85,0,17,0
"ECON400-01-W16",85,0,3,0
"ECON400-02-W16",85,0,1,0
"ECON400-03-W16",85,0,0,0
"ECON400-04-W16",85,0,0,0
"EDUC110-00-W16",85,0,41,17
"EDUC110-WL0-W16",85,0,0,0
"EDUC245-00-W16",85,1,56,7
"EDUC338-00-W16",85,1,68,20
"EDUC347-00-W16",85,0,0,0
"EDUC375-00-W16",85,0,38,22
"ENGL109-00-W16",85,0,10,3
"ENGL112-00-W16",85,0,0,0
"ENGL118-00-W16",85,0,9,7
"ENGL160-00-W16",85,0,3,0
"ENGL160-WL0-W16",85,0,0,0
"ENGL203-00-W16",85,0,11,9
"ENGL212-00-W16",85,13,31,5
"ENGL213-00-W16",85,10,0,0
"ENGL214-00-W16",85,10,0,0
"ENGL220-01-W16",85,0,0,0
"ENGL220-02-W16",85,0,0,0
"ENGL234-00-W16",85,1,22,5
"ENGL248-00-W16",85,0,0,0
"ENGL258-00-W16",85,0,12,1
"ENGL270-00-W16",85,0,0,0
"ENGL286-00-W16",85,0,6,0
"ENGL291-12-W16",85,0,8,21
"ENGL295-00-W16",85,10,42,1
"ENGL310-00-W16",85,18,1,0
"ENGL319-00-W16",85,0,0,0
"ENGL352-00-W16",85,0,0,0
"ENGL395-00-W16",85,7,41,25
"ENGL400-00-W16",85,0,0,0
"ENTS215-00-W16",85,36,12,3
"ENTS238-07-W16",85,2,0,0
"ENTS239-07-W16",85,0,0,0
"ENTS261-00-W16",85,1,0,0
"ENTS280-07-W16",85,0,0,0
"ENTS284-07-W16",85,0,0,0
"ENTS400-00-W16",85,0,0,0
"EUST110-00-W16",85,0,80,17
"FREN102-01-W16",85,39,87,46
"FREN102-02-W16",85,37,79,42
"FREN102-03-W16",85,37,69,38
"FREN204-00-W16",85,60,35,30
"FREN206-00-W16",85,0,13,1
"FREN210-00-W16",85,0,1,0
"FREN225-00-W16",85,0,0,0
"FREN239-00-W16",85,43,26,30
"FREN309-00-W16",85,0,0,0
"FREN360-00-W16",85,3,39,0
"FREN400-00-W16",85,0,0,0
"GEOL216-00-W16",85,0,15,0
"GEOL216L-54-W16",85,0,0,0
"GEOL250-00-W16",85,0,56,5
"GEOL250L-51-W16",85,0,0,0
"GEOL250L-52-W16",85,0,0,0
"GEOL285-07-W16",85,0,0,0
"GEOL286-07-W16",85,0,0,0
"GEOL287-07-W16",85,0,0,0
"GEOL288-07-W16",85,0,0,0
"GEOL289-07-W16",85,0,0,0
"GEOL400-00-W16",85,0,0,0
"GERM102-01-W16",85,0,11,5
"GERM102-02-W16",85,0,11,4
"GERM271-00-W16",85,34,17,0
"GERM400-00-W16",85,0,0,0
"GRK101-00-W16",85,2,8,2
"GRK204-00-W16",85,1,4,0
"GRK304-00-W16",85,0,0,0
"HEBR204-00-W16",85,0,18,0
"HEBR291-11-W16",85,0,0,0
"HIST123-00-W16",85,0,0,0
"HIST158-00-W16",85,2,16,0
"HIST170-00-W16",85,22,6,5
"HIST184-00-W16",85,0,59,7
"HIST235-00-W16",85,5,14,6
"HIST237-00-W16",85,0,0,0
"HIST241-00-W16",85,0,6,1
"HIST246-00-W16",85,3,6,5
"hist259-00-w16",85,0,44,5
"HIST280-00-W16",85,0,0,0
"HIST291-11-W16",85,0,0,0
"HIST291-12-W16",85,0,0,0
"HIST298-00-W16",85,0,15,0
"HIST306-00-W16",85,0,0,0
"HIST395-00-W16",85,1,23,0
"HIST398-01-W16",85,2,0,0
"HIST398-02-W16",85,1,0,0
"HIST398-03-W16",85,0,0,0
"HIST400-00-W16",85,0,0,0
"IDSC103-01-W16",85,0,18,10
"IDSC103-02-W16",85,0,18,10
"IDSC103-03-W16",85,0,18,10
"IDSC103-04-W16",85,0,18,10
"IDSC198-00-W16",85,0,7,0
"IDSC202-00-W16",85,0,1,0
"IDSC251-01-W16",85,0,0,0
"IDSC251-02-W16",85,0,0,0
"IDSC280-00-W16",85,0,0,0
"IDSC298-00-W16",85,0,0,0
"IDSC298-01-W16",85,0,0,0
"IDSC303-00-W16",85,0,0,0
"IDSC398-00-W16",85,0,0,0
"JAPAN400-00-W16",85,0,0,0
"JAPN102-01-W16",85,0,29,0
"JAPN102-02-W16",85,0,29,0
"JAPN205-01-W16",85,0,10,0
"JAPN205-02-W16",85,0,11,0
"japn205-w16",85,4,146,2
"LATN102-00-W16",85,0,0,0
"LATN255-00-W16",85,5,10,1
"LCST245-00-W16",85,0,21,4
"LCST291-11-W16",85,0,0,0
"LING110-01-W16",85,0,50,1
"LING110-02-W16",85,1,42,74
"LING110-WL2-W16",85,0,0,0
"LING216-00-W16",85,0,90,0
"LING325-00-W16",85,0,25,41
"LING400-00-W16",85,0,0,0
"LTAM270-00-W16",85,0,6,31
"LTAM400-00-W16",85,0,0,0
"MATH111-00-W16",85,1,0,0
"MATH121-01-W16",85,0,0,0
"MATH121-02-W16",85,1,0,0
"MATH121-03-W16",85,0,31,0
