"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"AFAM125-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AFAM398-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AFAM400-00-W16",85,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AMST247-00-W16",85,5,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0
"AMST345-00-W16",85,10,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0
"AMST391-11-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AMST400-01-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AMST400-02-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARBC102-00-W16",85,0,0,0,0,0,3,3,0,0,37,0,0,34,0,0,0,0
"ARBC185-00-W16",85,0,0,0,0,0,0,11,0,40,0,0,0,0,0,0,0,0
"ARBC205-00-W16",85,0,0,0,0,0,0,1,0,24,6,0,0,2,0,0,0,0
"ARBC310-00-W16",85,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"ARTH102-00-W16",85,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0
"ARTH164-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTH220-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTH298-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTH323-00-W16",85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ARTH400-01-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTH400-02-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTH400-03-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTH400-04-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS110-00-W16",85,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ARTS110-01-W16",85,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0
"ARTS110-WL0-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS120-00-W16",85,31,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0
"ARTS120-WL0-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS122-00-W16",85,13,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"ARTS122-WL0-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS141-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS210-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS214-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS232-00-W16",85,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS232-WL0-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS260-00-W16",85,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ARTS274-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS290-11-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS291-11-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
