"shortname","category","page_count","file_count","url_count"
"afst100-00-f19",107,0,6,0
"afst113-00-f19",107,0,7,0
"amst115-00-f19",107,0,37,5
"amst230-00-f19",107,0,85,5
"amst231-00-f19",107,0,19,4
"arbc100-00-f19",107,3,37,1
"arbc101-01-f19",107,0,0,0
"arbc101-02-f19",107,0,0,0
"ARBC101-f19",107,44,48,8
"ARBC101-f19 (Ramadan)",107,0,0,0
"arbc204-01-f19",107,0,0,0
"arbc204-02-f19",107,0,0,0
"ARBC204-f19",107,79,81,1
"ARBC204-f19 (Ramadan)",107,0,0,0
"arth100-01-f19",107,0,6,0
"arth100-02-f19",107,0,1,0
"arth101-00-f19",107,0,28,0
"arth214-00-f19",107,0,21,1
"arth232-07-f19",107,0,0,0
"arth247-00-f19",107,0,29,0
"arts110-01-f19",107,0,13,4
"arts110-02-f19",107,0,15,0
"arts110-03-f19",107,0,15,0
"arts124-00-f19",107,0,18,6
"arts130-00-f19",107,10,20,12
"arts151-00-f19",107,0,2,1
"arts232-00-f19",107,6,15,4
"ARTS240-Fall 2019",107,0,31,16
"arts260-00-f19",107,0,6,1
"arts274-00-f19",107,0,11,0
"arts291-11-f19",107,0,0,0
"arts400-00-f19",107,0,3,0
"asst100-00-f19",107,0,59,8
"asst319-07-f19",107,0,0,0
"ASST391-07-f19",107,0,0,0
"asst400-00-f19",107,0,0,0
"astr110-00-f19",107,6,40,12
"astr113-00-f19",107,1,69,14
"astr356-11-f19",107,0,0,0
"biol100-00-f19",107,0,44,17
"BIOL125 Lab - f19",107,5,15,0
"biol125-53-f19",107,0,0,0
"biol125-54-f19",107,0,0,0
"biol125-59-f19",107,0,0,0
"BIOL125-f19",107,5,85,62
"biol215-00-f19",107,25,6,0
"biol216-00-f19",107,0,0,0
"biol224-00-f19",107,0,21,1
"biol225-00-f19",107,0,9,3
"biol262-00-f19",107,0,8,1
"biol263-00-f19",107,0,4,0
"biol280-00-f19",107,0,1,1
"biol281-01-f19",107,0,24,6
"biol350-00-f19",107,0,28,0
"biol365-00-f19",107,0,0,0
"biol380-00-f19",107,0,94,0
"biol381-01-f19",107,0,0,0
"biol381-02-f19",107,0,0,0
"BIOL381-f19 (Sung)",107,0,18,0
"biol382-00-f19",107,0,31,0
"biol395-00-f19",107,0,0,1
"biol399-00-f19",107,0,0,0
"biol400-00-f19",107,0,0,0
"cams100-00-f19",107,0,5,0
"cams110-00-f19",107,0,25,13
"cams111-01-f19",107,2,8,10
"CAMS111-f19 (Elsaesser)",107,0,0,0
"cams177-00-f19",107,0,48,0
"cams215-00-f19",107,6,23,0
"cams270-00-f19",107,6,40,40
"cams278-00-f19",107,0,0,0
"cams370-00-f19",107,11,23,26
"CAMS400-00-f19",107,1,4,4
"ccst100-00-f19",107,12,1,4
"ccst208-00-f19",107,0,0,0
"cgsc130-00-f19",107,0,29,0
"cgsc232-00-f19",107,0,7,1
"cgsc233-01-f19",107,0,0,0
"cgsc233-02-f19",107,0,0,0
"CGSC233-f19 (Galotti)",107,0,0,0
"cgsc340-00-f19",107,0,33,1
"CGSC391-11-f19",107,0,0,0
"cgsc396-00-f19",107,0,0,0
"cgsc396-01-f19",107,0,0,0
"cgsc396-02-f19",107,0,0,0
"cgsc396-03-f19",107,0,0,0
"cgsc396-04-f19",107,0,0,0
"chem122-00-f19",107,0,39,0
"CHEM128 Combined Sections",107,0,35,0
"chem128-59-f19",107,0,0,0
"chem224-54-f19",107,0,0,0
"chem224-59-f19",107,0,0,0
"chem224-f19 (Gross)",107,0,1,1
"chem233-54-f19",107,17,39,0
"chem233-57-f19",107,0,0,0
"CHEM233-f19 (Huynh)",107,3,70,5
"chem301-01-f19",107,0,0,0
"chem301-02-f19",107,0,0,0
"chem301-03-f19",107,0,0,0
"chem301-04-f19",107,0,0,0
"chem301-f19",107,1,5,3
"chem343-00-f19",107,0,34,0
"chem361-00-f19",107,0,3,0
"chem395-00-f19",107,0,0,0
"chem400-01-f19",107,0,0,0
"chin101-01-f19",107,1,2,2
"chin204-01-f19",107,0,0,0
"chin204-02-f19",107,0,0,0
"CHIN204-f19 (Guo)",107,6,12,21
"CHIN204-f19 (Yang)",107,0,0,0
"chin250-00-f19",107,0,36,43
"chin280-00-f19",107,0,0,0
"chin347-00-f19",107,0,27,1
"clas100-00-f19",107,2,43,19
"clas229-00-f19",107,0,1,0
"clas394-00-f19",107,2,9,0
"cs111-01-f19",107,22,12,4
"cs111-02-f19",107,0,0,2
"cs111-03-f19",107,3,67,0
"cs201-01-f19",107,0,1,0
"cs201-02-f19",107,0,1,0
"CS201-f19 (Tucker)",107,0,0,0
"cs202-00-f19",107,2,35,1
"cs251-00-f19",107,7,7,41
"cs254-00-f19",107,1,56,7
"cs257-00-f19",107,11,3,3
"cs291-11-f19",107,0,0,0
"cs298-00-f19",107,0,0,0
"cs321-00-f19",107,0,4,46
"cs362-00-f19",107,1,44,2
"cs399-01-f19",107,0,4,5
"cs399-02-f19",107,0,5,4
"cs399-03-f19",107,0,4,1
"cs399-04-f19",107,0,4,1
"cs399-05-f19",107,0,4,1
"CS399-f19 (Oesper)",107,0,0,0
"CS399-f19 (Rafferty)",107,0,0,0
"danc107-00-f19",107,0,0,0
"danc115-00-f19",107,17,44,96
"danc150-00-f19",107,0,0,0
"danc158-00-f19",107,0,0,0
"danc200-00-f19",107,0,0,0
"danc208-00-f19",107,0,0,0
"danc295-00-f19",107,18,4,58
"danc300-00-f19",107,0,0,0
"danc301-00-f19",107,0,0,0
"danc350-00-f19",107,0,0,0
