"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"afst100-00-f19",107,6,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
"afst113-00-f19",107,4,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
"amst115-00-f19",107,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"amst230-00-f19",107,4,0,0,0,0,0,19,0,27,0,0,0,0,0,0,0,0
"amst231-00-f19",107,8,0,0,0,1,0,4,6,19,0,0,0,0,0,0,0,0
"arbc100-00-f19",107,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
"arbc101-01-f19",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arbc101-02-f19",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARBC101-f19",107,2,0,0,0,0,0,4,0,19,21,0,22,14,0,0,0,0
"ARBC101-f19 (Ramadan)",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arbc204-01-f19",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arbc204-02-f19",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARBC204-f19",107,0,0,0,0,0,1,6,0,21,13,0,24,6,0,0,0,0
"ARBC204-f19 (Ramadan)",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arth100-01-f19",107,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"arth100-02-f19",107,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"arth101-00-f19",107,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
"arth214-00-f19",107,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0
"arth232-07-f19",107,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"arth247-00-f19",107,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
"arts110-01-f19",107,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"arts110-02-f19",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts110-03-f19",107,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"arts124-00-f19",107,6,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
"arts130-00-f19",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts151-00-f19",107,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts232-00-f19",107,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS240-Fall 2019",107,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0
"arts260-00-f19",107,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"arts274-00-f19",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts291-11-f19",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts400-00-f19",107,14,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"asst100-00-f19",107,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"asst319-07-f19",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASST391-07-f19",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"asst400-00-f19",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"astr110-00-f19",107,0,0,0,0,1,6,1,0,7,0,0,1,27,0,0,0,0
"astr113-00-f19",107,0,0,0,0,0,6,1,0,7,0,0,0,0,0,0,0,0
"astr356-11-f19",107,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"biol100-00-f19",107,24,0,0,0,0,1,7,0,111,0,0,0,0,0,0,0,0
"BIOL125 Lab - f19",107,7,0,0,0,5,3,4,0,31,0,0,0,4,0,0,0,0
"biol125-53-f19",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"biol125-54-f19",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"biol125-59-f19",107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL125-f19",107,1,0,0,0,1,0,1,0,5,0,0,0,3,0,0,0,0
