"shortname","category","page_count","file_count","url_count"
"amest400-00-s20",110,0,0,0
"AMST225-00-s20",110,0,0,0
"amst254-00-s20",110,0,73,28
"arbc103-01-s20",110,0,0,0
"arbc103-02-s20",110,0,0,0
"ARBC103-s20 (Haidar)",110,44,30,2
"arbc185-00-s20",110,4,92,19
"arbc206-00-s20",110,32,45,8
"arbc212-00-s20",110,16,25,8
"arcn395-00-s20",110,8,51,16
"arth165-00-s20",110,1,41,17
"arth236-00-s20",110,0,13,11
"arth241-00-s20",110,0,21,8
"arth265-00-s20",110,0,7,45
"arth298-00-s20",110,0,10,4
"arth323-00-s20",110,0,13,0
"arth400-00-s20",110,0,0,0
"arts110-00-s20",110,30,35,37
"arts113-00-s20",110,0,46,1
"arts113-02-s20",110,0,46,1
"ARTS113-s20 (Jensen)",110,0,0,0
"arts122-00-s20",110,1,9,16
"ARTS130-00-s20",110,0,0,0
"arts140-00-s20",110,0,2,0
"arts141-00-s20",110,0,3,0
"arts152-00-s20",110,0,5,4
"arts211-00-s20",110,0,35,1
"arts228-00-s20",110,0,20,32
"ARTS230-00-s20",110,0,0,0
"ARTS252-00-s20",110,0,0,0
"arts291-11-s20",110,0,0,0
"arts298-00-s20",110,0,13,1
"arts322-00-s20",110,16,16,16
"arts360-00-s20",110,0,14,0
"arts374-00-s20",110,0,47,0
"ARTS398-00-s20",110,0,5,0
"ARTS398-s20-DEMO",110,0,3,0
"asst110-00-s20",110,1,48,3
"asst283-00-s20",110,0,62,35
"ASST284-07-s20",110,0,0,0
"astr113-00-s20",110,3,25,15
"astr232-00-s20",110,3,98,16
"biol126-52-s20",110,7,21,3
"biol126-53-s20",110,0,19,1
"biol126-54-s20",110,7,21,2
"biol126-59-s20",110,8,13,1
"biol126-lab-s20",110,10,18,1
"biol126-lecture-s20",110,0,57,14
"biol240-00-s20",110,1,18,0
"biol241-01-s20",110,9,27,0
"biol241-02-s20",110,9,27,0
"BIOL241-s20 (Zweifel)",110,0,0,0
"biol242-00-s20",110,0,59,0
"biol243-01-s20",110,0,14,0
"biol243-02-s20",110,0,14,0
"BIOL243-s20 (Rand)",110,0,0,0
"biol338-00-s20",110,1,47,16
"biol339-01-s20",110,0,0,0
"biol342-00-s20",110,5,9,16
"biol352-00-s20",110,0,5,1
"biol353-00-s20",110,0,8,16
"biol354-00-s20",110,0,0,0
"biol363-00-s20",110,0,34,0
"biol370-00-s20",110,0,71,75
"biol374-00-s20",110,0,38,1
"biol386-00-s20",110,0,23,0
"biol387-00-s20",110,0,7,0
"biol394-11-s20",110,0,0,0
"biol394-12-s20",110,0,0,0
"biol399-00-s20",110,0,0,0
"biol400-00-s20",110,0,0,0
"cams101-00-s20",110,2,6,76
"CAMS111-01-s20",110,0,0,0
"CAMS111-02-s20",110,0,0,0
"cams211-00-s20",110,0,5,7
"cams245-00-s20",110,33,12,18
"cams258-00-s20",110,2,7,31
"cams263-00-s20",110,1,10,50
"cams271-00-s20",110,0,17,42
"cams291-11-s20",110,0,0,0
"cams320-00-s20",110,2,53,27
"CCCE-s20",110,0,2,6
"ccst208-00-s20",110,0,0,0
"cgsc130-00-s20",110,0,25,0
"cgsc236-00-s20",110,11,4,1
"cgsc394-00-s20",110,0,6,0
"cgsc400-00-s20",110,0,0,0
"chem123-52-s20",110,2,11,5
"chem123-54-s20",110,2,11,4
"chem123-59-s20",110,2,11,4
"chem123-s20",110,40,84,8
"chem224-53-s20",110,0,0,0
"chem224-54-s20",110,0,0,0
"chem224-59-s20",110,0,0,0
"CHEM224-s20 (Drew)",110,20,3,4
"CHEM224-s20 (Gross)",110,0,0,0
"chem234-52-s20",110,0,0,0
"chem234-57-s20",110,0,0,0
"CHEM234-s20 (Huynh)",110,2,91,9
"chem320-00-s20",110,121,9,153
"chem321-01-s20",110,0,0,0
"chem321-02-s20",110,0,0,0
"CHEM321-s20 (Chihade)",110,6,2,3
"chem348-00-s20",110,5,28,14
"chem349-01-s20",110,0,0,0
"chem349-02-s20",110,0,0,0
"CHEM349-s20 (Kohen)",110,0,0,0
