"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"amest400-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AMST225-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"amst254-00-s20",110,3,0,0,0,0,0,17,0,33,0,0,0,0,0,0,0,0
"arbc103-01-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arbc103-02-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARBC103-s20 (Haidar)",110,0,0,0,0,0,1,2,0,0,0,0,1,6,0,0,0,0
"arbc185-00-s20",110,0,0,0,0,0,0,13,0,39,0,0,0,0,0,0,0,0
"arbc206-00-s20",110,9,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0
"arbc212-00-s20",110,14,0,0,0,0,2,7,0,1,0,0,8,0,0,0,0,0
"arcn395-00-s20",110,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
"arth165-00-s20",110,3,0,0,0,19,1,3,0,0,0,0,0,4,0,0,1,0
"arth236-00-s20",110,17,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0
"arth241-00-s20",110,7,0,0,0,0,31,11,0,0,0,0,0,0,0,0,0,0
"arth265-00-s20",110,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"arth298-00-s20",110,7,0,0,0,0,18,11,0,0,0,0,0,0,0,0,0,0
"arth323-00-s20",110,13,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0
"arth400-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts110-00-s20",110,3,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0
"arts113-00-s20",110,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts113-02-s20",110,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS113-s20 (Jensen)",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts122-00-s20",110,12,0,0,0,0,0,3,0,23,0,0,6,0,0,0,0,0
"ARTS130-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts140-00-s20",110,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
"arts141-00-s20",110,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
"arts152-00-s20",110,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"arts211-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts228-00-s20",110,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"ARTS230-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS252-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts291-11-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts298-00-s20",110,3,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0
"arts322-00-s20",110,10,0,0,0,0,0,3,0,23,0,0,7,0,0,0,0,0
"arts360-00-s20",110,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"arts374-00-s20",110,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ARTS398-00-s20",110,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"ARTS398-s20-DEMO",110,4,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0
"asst110-00-s20",110,15,0,0,0,0,0,73,0,0,0,0,0,9,0,0,0,0
"asst283-00-s20",110,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"ASST284-07-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"astr113-00-s20",110,0,0,0,0,0,3,2,0,13,0,0,0,0,0,0,0,0
"astr232-00-s20",110,9,0,0,0,0,4,12,0,54,0,0,0,0,0,0,0,0
"biol126-52-s20",110,22,0,0,0,0,0,6,0,39,0,0,0,0,0,0,0,0
"biol126-53-s20",110,24,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"biol126-54-s20",110,23,0,0,0,0,0,6,0,37,0,0,0,0,0,0,0,0
"biol126-59-s20",110,23,0,0,0,0,0,7,0,52,0,0,0,0,0,0,0,0
"biol126-lab-s20",110,1,0,0,0,0,3,1,0,17,0,0,0,0,0,0,0,0
"biol126-lecture-s20",110,0,0,0,0,0,2,1,0,86,0,0,0,48,0,0,0,0
"biol240-00-s20",110,8,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0
"biol241-01-s20",110,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
