subject,division
afam,Interdisciplinary Studies
amst,Interdisciplinary Studies
arbc,Arts & Literature
arcn,Social Sciences
arth,Arts & Literature
arts,Arts & Literature
asln,Arts & Literature
asst,Interdisciplinary Studies
astr,Natural Sciences & Mathematics
biol,Natural Sciences & Mathematics
cams,Arts & Literature
careercenter,Administrative
ccst,Interdisciplinary Studies
cgsc,Social Sciences
chem,Natural Sciences & Mathematics
chin,Arts & Literature
choir,Arts & Literature
clas,Arts & Literature
cs,Natural Sciences & Mathematics
danc,Arts & Literature
econ,Social Sciences
educ,Social Sciences
engl,Arts & Literature
ents,Natural Sciences & Mathematics
eust,Interdisciplinary Studies
fren,Arts & Literature
geol,Natural Sciences & Mathematics
germ,Arts & Literature
grk,Arts & Literature
gsc,Administrative
hebr,Arts & Literature
hist,Humanities
idsc,Interdisciplinary Studies
japn,Arts & Literature
latn,Arts & Literature
lcst,Interdisciplinary Studies
ling,Social Sciences
ltam,Interdisciplinary Studies
math,Natural Sciences & Mathematics
mela,Arts & Literature
musc,Arts & Literature
neur,Natural Sciences & Mathematics
pe,PEAR
phil,Humanities
phys,Natural Sciences & Mathematics
posc,Social Sciences
psyc,Social Sciences
relg,Humanities
russ,Arts & Literature
soan,Social Sciences
span,Arts & Literature
thea,Arts & Literature
wgst,Interdisciplinary Studies
